US_L3CODE	NoThreat	LowThreat	MedThreat	HighThreat	AllThreat	TotalHa	Percent
1	5351357	22617	11184	39851	73652	5425009	1
2	1485060	46492	22886	142131	211509	1696569	12
3	1386542	25723	13415	62789	101927	1488469	7
4	5871880	5016	2119	6374	13509	5885389	0
5	5283096	6658	3867	16647	27172	5310268	1
6	7438781	50310	30659	148136	229105	7667886	3
7	4367927	44525	29652	206912	281089	4649016	6
8	1562255	4723	2543	14257	21523	1583778	1
9	5299303	4806	3158	18458	26422	5325725	0
10	8162968	38155	18440	93223	149818	8312786	2
11	7062861	6226	3229	18831	28286	7091147	0
12	5248284	19060	11476	83825	114361	5362645	2
13	30631607	37839	18109	191465	247413	30879020	1
14	12615097	16018	8283	129571	153872	12768969	1
15	8132063	14240	7983	38407	60630	8192693	1
16	6023600	1492	800	2439	4731	6028331	0
17	16360166	22475	12943	50561	85979	16446145	1
18	13209782	14850	6959	36650	58459	13268241	0
19	4526999	9229	4141	28993	42363	4569362	1
20	13574441	17940	8602	56555	83097	13657538	1
21	14502054	15819	7581	44712	68112	14570166	0
22	14586437	18212	9071	72181	99464	14685901	1
23	11048974	7300	3696	31016	42012	11090986	0
24	16248905	24515	12041	114614	151170	16400075	1
25	28280575	112847	54067	384486	551400	28831975	2
26	19708415	39064	18806	116646	174516	19882931	1
27	26913705	147638	75406	359471	582515	27496220	2
28	2736281	12754	7594	36594	56942	2793223	2
29	8419482	86464	39614	273257	399335	8818817	5
30	7298138	38864	19052	140330	198246	7496384	3
31	5233077	25384	12195	68963	106542	5339619	2
32	3824937	81039	40269	391959	513267	4338204	12
33	5402205	53525	24661	94883	173069	5575274	3
34	7104541	71520	35757	327223	434500	7539041	6
35	14468472	189145	93566	462008	744719	15213191	5
36	2643170	11343	5323	29700	46366	2689536	2
37	2757181	23852	10886	50247	84985	2842166	3
38	1403500	3174	1507	9583	14264	1417764	1
39	10344454	61952	34070	198615	294637	10639091	3
40	11046599	77052	44714	263944	385710	11432309	3
41	1885718	208	123	656	987	1886705	0
42	17367358	31374	15068	69771	116213	17483571	1
43	35609581	41562	19360	87840	148762	35758343	0
44	5901468	4165	1722	4947	10834	5912302	0
45	14948908	279567	150401	1232851	1662819	16611727	10
46	13344527	38472	17934	76813	133219	13477746	1
47	22154956	144306	80584	434486	659376	22814332	3
48	4453675	13233	6997	31110	51340	4505015	1
49	2270870	2854	1497	5979	10330	2281200	0
50	18834715	83362	49112	218643	351117	19185832	2
51	8465250	95884	48605	281223	425712	8890962	5
52	4631710	31496	15091	60324	106911	4738621	2
53	2773389	68504	33463	259675	361642	3135031	12
54	7163185	70303	40885	376604	487792	7650977	6
55	8078671	118252	66725	422109	607086	8685757	7
56	4956811	75671	47996	223031	346698	5303509	7
57	2998577	32232	19964	108699	160895	3159472	5
58	12261921	50781	23825	79105	153711	12415632	1
59	3598187	112567	67844	428130	608541	4206728	14
60	4567450	28658	13881	41030	83569	4651019	2
61	2815028	61983	31260	187693	280936	3095964	9
62	2627480	14537	6838	23887	45262	2672742	2
63	7393612	97260	52379	304377	454016	7847628	6
64	2654401	83178	48176	350765	482119	3136520	15
65	31336363	359243	197542	995366	1552151	32888514	5
66	4507080	43002	22917	86546	152465	4659545	3
67	10792043	212385	108620	558557	879562	11671605	8
68	3633128	42900	23221	100229	166350	3799478	4
69	6069966	38505	18950	77615	135070	6205036	2
70	7770054	102896	51278	219787	373961	8144015	5
71	11716432	123953	67587	444752	636292	12352724	5
72	11669187	91080	53275	231226	375581	12044768	3
73	11394768	59828	32701	124640	217169	11611937	2
74	4873172	61734	33609	212494	307837	5181009	6
75	12761946	206309	127738	1045450	1379497	14141443	10
76	2146946	7636	4712	94048	106396	2253342	5
77	3028886	2876	1360	4428	8664	3037550	0
78	4798894	11531	6162	19231	36924	4835818	1
79	3946986	4450	1931	10140	16521	3963507	0
80	14005527	4166	1971	8152	14289	14019816	0
81	11456155	26122	14789	337490	378401	11834556	3
82	4411509	26609	16005	68195	110809	4522318	2
83	3782172	62533	30391	152887	245811	4027983	6
84	1225231	39743	24849	140931	205523	1430754	14
85	1803284	28958	18111	244837	291906	2095190	14
