OID_,ECOLSYS_LU,VALUE_1,VALUE_2,VALUE_3,VALUE_4,L3eco,NoThreat,LowThreat,MedThreat,HighThreat,AllThreat,Total,Percent
,California Central Valley Mixed Oak Savanna,50121900.000000000000000,290700.000000000000000,104400.000000000000000,415800.000000000000000,01,5012.1899414,29.0699997,10.4399996,41.5800018,81.0899963,5093.2797852,1.5921000
,California Coastal Closed-Cone Conifer Forest and Woodland,230803200.000000000000000,5325300.000000000000000,2953800.000000000000000,13099500.000000000000000,01,23080.3007813,532.5300293,295.3800049,1309.9499512,2137.8601074,25218.1992188,8.4774504
,California Coastal Live Oak Woodland and Savanna,842231700.000000000000000,4410900.000000000000000,2516400.000000000000000,6668100.000000000000000,01,84223.2031250,441.0899963,251.6399994,666.8099976,1359.5400391,85582.7031250,1.5885700
,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,245671200.000000000000000,136800.000000000000000,53100.000000000000000,109800.000000000000000,01,24567.0996094,13.6800003,5.3099999,10.9799995,29.9699993,24597.0996094,0.1218440
,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,63293400.000000000000000,29700.000000000000000,7200.000000000000000,17100.000000000000000,01,6329.3398438,2.9700000,0.7200000,1.7100000,5.4000001,6334.7402344,0.0852442
,Southern California Oak Woodland and Savanna,268200.000000000000000,1800.000000000000000,0.000000000000000,1800.000000000000000,01,26.8199997,0.1800000,0.0000000,0.1800000,0.3600000,27.1800003,1.3245000
,East Cascades Oak-Ponderosa Pine Forest and Woodland,5400.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,0.5400000,0.0000000,0.0000000,0.0000000,0.0000000,0.5400000,0.0000000
,Mediterranean California Mixed Evergreen Forest,2980083600.000000000000000,6876000.000000000000000,2691900.000000000000000,8804700.000000000000000,01,298008.0000000,687.5999756,269.1900024,880.4699707,1837.2600098,299845.0000000,0.6127370
,Mediterranean California Mixed Oak Woodland,123578100.000000000000000,125100.000000000000000,13500.000000000000000,61200.000000000000000,01,12357.7998047,12.5100002,1.3500000,6.1199999,19.9799995,12377.7998047,0.1614180
,North Pacific Dry Douglas-fir-(Madrone) Forest and Woodland,715968900.000000000000000,405000.000000000000000,81000.000000000000000,429300.000000000000000,01,71596.8984375,40.5000000,8.1000004,42.9300003,91.5299988,71688.3984375,0.1276780
,North Pacific Oak Woodland,134675100.000000000000000,2254500.000000000000000,650700.000000000000000,1730700.000000000000000,01,13467.5000000,225.4499969,65.0699997,173.0700073,463.5899963,13931.0996094,3.3277299
,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,31938300.000000000000000,900.000000000000000,0.000000000000000,0.000000000000000,01,3193.8300781,0.0900000,0.0000000,0.0000000,0.0900000,3193.9199219,0.0028179
,Northern Rocky Mountain Subalpine Woodland and Parkland,3363300.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,336.3299866,0.0000000,0.0000000,0.0000000,0.0000000,336.3299866,0.0000000
,Rocky Mountain Subalpine Mesic Spruce-Fir Forest and Woodland,30097800.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,3009.7800293,0.0000000,0.0000000,0.0000000,0.0000000,3009.7800293,0.0000000
,California Montane Jeffrey Pine-(Ponderosa Pine) Woodland,126000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,12.6000004,0.0000000,0.0000000,0.0000000,0.0000000,12.6000004,0.0000000
,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,10138500.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,1013.8499756,0.0000000,0.0000000,0.0000000,0.0000000,1013.8499756,0.0000000
,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,267300.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,26.7299995,0.0000000,0.0000000,0.0000000,0.0000000,26.7299995,0.0000000
,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,978167700.000000000000000,72900.000000000000000,36000.000000000000000,78300.000000000000000,01,97816.7968750,7.2900000,3.5999999,7.8299999,18.7199993,97835.5000000,0.0191342
,Mediterranean California Mesic Mixed Conifer Forest and Woodland,73564200.000000000000000,24300.000000000000000,0.000000000000000,1800.000000000000000,01,7356.4199219,2.4300001,0.0000000,0.1800000,2.6099999,7359.0297852,0.0354666
,California Coastal Redwood Forest,6103638900.000000000000000,19423800.000000000000000,9677700.000000000000000,26156700.000000000000000,01,610364.0000000,1942.3800049,967.7700195,2615.6699219,5525.8198242,615890.0000000,0.8972090
